Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
34.4972677251,12.6556511492,39.5776680195,4.082620633,587.9510539684
31.9262720264,11.1094607287,37.2689588683,2.6640341821,392.2049334443
33.0009147556,11.3302780578,37.1105974421,4.1045432024,487.5475048675
33.3306725236,12.7951885511,37.5366533006,4.4463083184,599.4060920458
32.0215955014,11.3663483097,36.6837761529,4.6850172466,521.5721747578
33.9877728957,13.3862352757,37.5344973416,3.2734335777,570.2004089636
33.8793608248,11.5847829995,37.087926071,3.7132092029,522.3374046069
29.5324289671,10.9612984002,37.420215575,4.0464231643,408.6403510726
33.1903340437,12.9592260916,36.1446667,3.9185418392,573.4158673314
32.3879758532,13.1487256921,36.6199570828,2.4945436467,470.452733301
30.7377203726,12.636606052,36.2137630937,3.3578468423,461.7807421962
32.1253868973,11.7338616909,34.8940927514,3.1361327165,457.8476959449
32.3388993231,12.013194694,38.3851365941,2.4208061609,407.7045475495
32.6178560628,13.9895925558,37.1905038004,4.0645485504,605.0610388049
33.5030872567,12.8779836963,37.4410213356,1.55915194,419.9387748392
31.5316044826,13.3785627842,38.7340062899,2.2451477874,436.5156057294
32.9032509734,11.6575759221,36.7726037613,3.9193023086,519.3409891308
34.5075509985,12.8936695041,37.6357558779,5.7051539706,700.9170916174
33.0293319535,11.7658126455,37.7385249456,2.721735992,423.1799916806
33.5412313131,12.7838917843,36.430649621,4.6481993164,619.8956398616
32.3359896374,13.0078194244,37.8517791694,2.9963645263,486.8389347651
33.1102050577,11.982044994,35.2930877544,3.9234887455,529.5376653369
33.1054379425,11.965020003,37.2778117421,4.7425775196,554.7220838331
33.2419004345,12.3054178134,36.163648171,3.0623681453,497.5866713004
32.1755012379,13.3874921056,35.6941749857,4.3430629154,588.7126055096
32.7283600031,13.1045072429,38.8780405068,2.820097234,491.0732236795
32.8203099454,11.6348932526,35.3686263254,4.1245852967,507.4418323396
33.6160378928,11.9363864999,38.768640998,3.6492861577,521.8835731665
32.8653271749,11.9844175236,37.0443614003,3.4523885826,490.738632144
32.7493681811,9.9549759692,37.3883148672,4.6504912691,478.1703340541
32.5672304803,12.4890132157,36.3714798141,4.2224362253,537.8461952696
32.0705462209,11.7331062204,37.5342910111,4.6712754609,532.7517875818
33.792039075,12.507525374,37.1428619846,4.214495086,591.1971781806
32.0444861274,13.4149347359,36.1124350108,2.2586863869,448.2298291866
34.5645577062,13.1465514329,37.3354458943,3.8768751769,593.9150029683
31.6610498227,11.3980641901,36.5944567001,3.1983992717,416.3583535799
33.2563354698,13.8580624621,37.7802646872,5.976768126,725.5848140557
33.900224414,10.9567909678,37.2668782594,2.9526689579,442.6672517386
34.187774827,10.3201162551,37.4534051015,2.0948917061,384.6265715694
33.7620692391,9.9845143965,35.933449301,3.8554716846,451.4574468676
34.3901636643,12.6451951408,38.4683211059,2.8745969103,522.4041412596
33.9252966012,11.5886554234,35.2522420224,3.3920504891,483.673308019
34.3018702154,10.5682946856,36.173125632,3.3152247539,453.1695023547
32.8439302227,11.8322862229,36.8140105625,3.4719191365,496.6507080686
33.8797842897,12.4955916024,38.0526097526,4.6393203319,616.8515229667
33.0765356071,9.6073146875,36.4939925467,5.0812100925,507.2125690007
32.7897726183,11.6700659191,37.4087484767,3.4146884225,483.1597207845
34.3742580452,15.1269942888,37.1576240941,5.3775935836,765.5184619388
32.1790999726,11.1875389109,40.0051816381,3.5526497674,451.5756851595
33.1541757883,11.887494134,36.265000697,2.602287112,444.9665516533
32.8086975927,12.8171130903,37.0315392168,3.8515788004,534.7771880994
33.879744968,13.587806083,38.2603534427,3.2581128829,578.2416050584
33.5552074214,11.5518211662,36.6288342928,2.8379431641,444.2859074976
33.1420793273,11.4333799333,35.8924316344,4.4702825841,544.7798637194
32.5971826598,10.8895668634,38.2125708341,4.442054329,488.7860610939
33.167136877,11.9288420939,36.9146333114,3.1649439953,475.7590677883
31.5147378578,12.5956713051,39.6003764659,3.7517345521,489.8124879965
34.5940211495,10.9472585842,35.883994387,3.159754444,462.8976361529
33.5013698221,13.8980819935,37.0589128165,4.1305628092,596.4301726172
32.402371018,10.8755595482,37.78114256,1.9140899242,338.3198626415
34.4478714365,10.6077238709,36.8190955132,3.3664637434,473.728966513
32.6055836416,12.0688160797,36.1050004999,3.9174511191,505.1133435399
32.4914466031,12.5303573735,37.8752191,2.4761390506,449.0703194428
33.6160185526,13.516284297,36.7731234937,4.1255843633,611.0000251041
33.7106530591,13.6647478752,37.7243861576,1.36267408,439.0747667416
32.1977237974,11.8302310949,36.6338567023,4.1933246355,514.0889577466
32.4612124451,13.2911430454,38.6336256516,3.8710034002,543.3401662567
34.1838205206,13.3499129444,37.8273942279,4.2520061056,614.7153338263
33.8263520091,12.0840917308,35.8903579557,3.0216718217,495.2994425473
32.4983930747,13.4107591849,35.9904889548,3.1846186616,518.064557984
31.8854062999,11.2819310741,37.3853175528,2.8772248783,390.1032729725
33.4378295623,12.5954203464,36.2620318001,2.9696402266,492.1050523892
31.3895854807,10.9942239194,38.0744524197,3.4288599039,410.06961106
33.468699949,13.0855057601,35.8458271138,2.9269402355,497.5136833294
32.2917561003,12.1904742873,36.1524620886,3.7818230393,494.5518610866
32.0637746203,10.7191497406,37.7125086388,3.0047425359,378.3309069068
31.8530748017,12.1493754916,37.3253342238,3.3618146244,459.2851234624
32.0123007682,12.178331334,37.7159861776,3.7225611729,492.945053066
32.3884516255,11.0104821324,38.4150415815,3.5435470502,424.7626355099
32.6531814588,11.6025321935,37.3096887709,2.7894615164,422.4267758765
32.9313364419,12.7322115885,35.6008205491,5.4859767342,642.1015787312
33.9257948955,12.0110218766,36.7010523155,2.7534241688,479.2310929116
33.0592640914,11.7259100978,35.9990993016,5.0048205775,593.0772413448
34.5693812187,12.8549903666,35.0074822574,3.2927976626,576.3111773717
33.7016051987,11.5640223681,37.6732103656,4.7161049872,576.8025473996
33.2683302177,11.1133298974,37.3879455426,4.0187266097,514.239520719
31.3584771924,12.8098834734,36.5496679901,3.6377012795,495.1759504495
33.0147922152,11.7611723255,37.5701638447,3.8341696666,514.3365582674
31.5761319713,12.5798941736,37.0932648701,4.5319866067,541.2265839893
34.7093232961,10.6517937835,37.146006529,3.2182653851,468.4457372274
32.7717150097,11.5408324362,37.5264210278,2.9240207246,431.6177337614
33.7004004568,11.9243949233,37.24503247,3.905250309,552.9403454501
32.4397702533,12.4241304114,38.9488250275,4.9203184061,573.3062222575
32.4551762851,12.7591689788,36.5991123543,4.1312766484,542.7115581026
33.5409767918,11.8518908349,37.4245479223,1.7677307076,407.8040306357
33.3583982814,12.7036879289,36.1009144521,2.724108202,482.3535703214
32.6861292561,12.2152524249,36.5943616849,3.89711586,529.2300901235
34.5582946091,11.2814450036,36.4944064829,2.4916715413,433.0487690958
